title,link,date,word
"충주시 ""고장난 우산으로 반려견 우비 제작""",https://www.inews365.com/news/article.html?no=731634,2022.09.18.,"['충주시', '고장난', '우산으로', '반려견', '우비', '제작']"
'고장 난 우산 반려견 우비로 변신' 충주 평생학습 동아리 활동 눈길,https://www.news1.kr/articles/4804915,2022.09.17.,"['고장', '난', '우산', '반려견', '우비로', '변신', '충주', '평생학습', '동아리', '활동', '눈길']"
"충주시평생학습관, 고장난 우산 활용 반려견 우비 제작·기부",http://www.breaknews.com/924671,2022.09.16.,"['충주시평생학습관', '고장난', '우산', '활용', '반려견', '우비', '제작', '기부']"
"에듀팜 특구, 반려견 놀이터 일반인 개방",http://www.dynews.co.kr/news/articleView.html?idxno=661017,2022.05.29.,"['에듀팜', '특구', '반려견', '놀이터', '일반인', '개방']"
북서울꿈의숲에 둘레길 생긴다…반려견 놀이터도 조성,https://www.yna.co.kr/view/AKR20220521049600004?input=1195m,2022.05.22.,"['북서울꿈의숲에', '둘레길', '생긴다', '반려견', '놀이터도', '조성']"
이 아파트에는 개 부러운 반려견 놀이터가 생긴다,http://www.notepet.co.kr/news/article/article_view/?idx=25933&groupCode=AB120AD120,2022.06.21.,"['이', '아파트에는', '개', '부러운', '반려견', '놀이터가', '생긴다']"
'반려견과 함께' 펫 프리미엄 리조트 '태안 이안즈펫 리조트' 분양,http://www.ksilbo.co.kr/news/articleView.html?idxno=946411,2022.09.08.,"['반려견과', '함께', '펫', '프리미엄', '리조트', '태안', '이안즈펫', '리조트', '분양']"
유인애‧조윤섭 강북구의원 '북서울 꿈의 숲' 반려견 놀이터 예정지 방문,https://www.jeonmae.co.kr/news/articleView.html?idxno=889486,2022.05.11.,"['유인애', '조윤섭', '강북구의원', '북서울', '꿈의', '숲', '반려견', '놀이터', '예정지', '방문']"
"완주군, 반려견 안전사고 예방…동물보호법 위반 집중 단속",http://www.newsis.com/view/?id=NISX20220905_0002002711&cID=10808&pID=10800,2022.09.05.,"['완주군', '반려견', '안전사고', '예방', '동물보호법', '위반', '집중', '단속']"
반려견 수영장·운동장·호텔까지 갖춘 ‘휴견소’,https://www.chosun.com/national/transport-environment/2022/08/20/BDIPMEO5YBFL3EH7SPQRSMUJYM/?utm_source=naver&utm_medium=referral&utm_campaign=naver-news,,"['반려견', '수영장', '운동장', '호텔까지', '갖춘', '휴견소']"
애견놀이터 조성에 반려견 페스티벌까지 ‘눈길’,https://www.sedaily.com/NewsView/264VR1JYWW,2022.08.20.,"['애견놀이터', '조성에', '반려견', '페스티벌까지', '눈길']"
