,contetnt,date,place,tags
20,"['블리스풀', '화요일', '오픈벌써', '월이네요', '시간', '너무', '빠른거', '아닌가요', '현재날씨해', '쨍쨍', '시원한', '바람바람은', '강한데', '기온이', '낮지', '않아서추운', '바람은', '아니예요', '해', '떨어질', '때를', '대비해서', '겉옷', '챙겨오세요']",2022-11-01,환상의 섬 Jeju Island,"['블리스풀', '화요일', '오픈벌써', '현재날씨해']"
21,"['햇빛', '아래서', '방긋']",2022-11-01,,[]
22,"['올치올치', '광주광역시에', '첫', '반려견', '놀이터가', '내년', '상반기', '문을', '열', '예정이다', '일', '광주시에', '따르면', '광산구', '소촌동', '수랑공원에', '규모의', '반려견', '놀이터를', '조성한다', '행정기관이', '조성하고', '운영하는', '첫', '반려견', '놀이터다', '시설은', '대형견과', '중', '소형견으로', '구분해', '개', '이상의', '각종', '놀이기구', '관리시설', '공원', '밖으로', '뛰쳐나가지', '못하게', '하기', '위한', '울타리', '반려견', '성향에', '따른', '분리', '공간', '등으로', '배치된다', '또', '행동교정을', '위한', '반려동물', '문화교실', '등', '반려견을', '위한', '각종', '프로그램도', '도입한다', '운영은', '관할', '지자체인', '광산구가', '직접', '맡거나', '전문기관에', '위탁운영할', '예정이다', '시설', '착공은', '토지보상', '문제와', '행정적', '절차가', '마무리되는', '내년', '상반기에', '이뤄진다', '한편', '호남지방통계청의', '인구주택총조사', '표본집계', '결과', '광주시', '전체', '가구', '만', '천여', '가구', '중', '인', '만', '천여', '가구가', '반려동물을', '기르고', '있는', '것으로', '파악됐다', '반려견을', '키우는', '가구가', '만', '천', '가구', '로', '가장', '많았다', '광주광역시', '수랑공원', '반려견놀이터', '유기동물', '유기견', '올치올치', '반려동물', '강아지', '고양이', '길고양이', '동물학대', '동물보호법', '반려견', '멍스타그램', '개스타그램', '독스타그램', '펫스타그램', '견스타그램', '강아지그램', '냥스타그램', '멍멍이', '소통', '캣스타그램', '강아지스타그램', '인스타독', '댕댕이', '반려묘', '고양이그램', '대형견']",2022-11-01,,"['광주광역시', '수랑공원', '반려견놀이터', '유기동물', '유기견', '올치올치', '반려동물', '강아지', '고양이', '길고양이', '동물학대', '동물보호법', '반려견', '멍스타그램', '개스타그램', '독스타그램', '펫스타그램', '견스타그램', '강아지그램', '냥스타그램', '멍멍이', '소통', '캣스타그램', '강아지스타그램', '인스타독', '댕댕이', '반려묘', '고양이그램', '대형견']"
23,"['귀여운', '스마일댕', '간판이', '달렸어요', '모든', '공사가', '마무리', '되어', '가고', '있습니다', '작은', '규모지만', '아이들을', '위한', '공간을', '만들어', '가고', '있습니다', '수원시', '망포동', '화성시', '반월동', '용인시', '서천동', '서농동', '동탄', '신도시', '등', '접근성이', '너무', '좋은', '위치에', '자리', '잡고', '있어서', '찾아오시는데', '큰', '어려움이', '없으실거에요', '오픈', '전에도', '유치원', '입학', '관련', '상담이', '가능하니까', '프로필', '상단의', '번호', '또는', '카카오채널로', '연락', '주세요', '아이들이', '편안하고', '즐겁게', '지낼', '수', '있도록', '항상', '노력하는', '스마일댕이', '되겠습니다', '정식오픈', '월', '일', '방문', '상담', '등원', '가능', '운영시간', '유치원', '데이케어월', '금', 'AM', 'PM', '미용', '데이케어둘째', '넷째', '토요일', 'AM', 'PM', '주소', '경기', '화성시', '영통로', '번길', '신우프라자', '층', '반려동물관리사', '자격증', '보유', '강아지', '전용', '미끄럼방지장판', '사용', '예약문의', '카카오채널', '스마일댕', '애견유치원', '애견놀이터', '반려견유치원', '반려견놀이터', '강아지유치원', '강아지놀이터', '애견미용', '반려견미용', '강아지미용', '데이케어', '가정식애견유치원']",2022-10-31,화성시 반월동,"['애견유치원', '애견놀이터', '반려견유치원', '반려견놀이터', '강아지유치원', '강아지놀이터', '애견미용', '반려견미용', '강아지미용', '데이케어', '가정식애견유치원']"
24,"['지난', '주말', '향긋한', '허브', '냄새', '맡으며', '신나게', '뛰뛰한', '칭구들', '만수', '시바', '진도', '블랙탄', '허브펫하우스', '용인', '반려견놀이터', '애견놀이터', '애견카페', '체험농장', '허브', '체험', '강이지', '에버랜드', '실내', '실외', '애견동반', '노키즈존', '포토존', '이쁜', '사진', '식물', '힐링', '수도권', '근교', '산책', '뛰뛰']",2022-10-31,,"['만수', '시바', '진도', '블랙탄', '허브펫하우스', '용인', '반려견놀이터', '애견놀이터', '애견카페', '체험농장', '허브', '체험', '강이지', '에버랜드', '실내', '실외', '애견동반', '노키즈존', '포토존', '이쁜', '사진', '식물', '힐링', '수도권', '근교', '산책', '뛰뛰']"
25,"['월', '일부터', '주말에만', '카페', '영업을', '하고', '평일에는', '유치원', '미용', '호텔', '데이케어', '서비스만', '제공하기로결정', '했습니다', '더욱', '체계적인', '관리를', '위해', '반편성', '및', '추가', '유치원', '선생님을', '모실', '계획입니다', '앞으로', '동탄', '최고의', '애견', '유치원', '호텔', '미용', '서비스를', '제공하도록', '노력하겠습니다', '그리고', '주말', '카페는', '정상', '영업을', '할', '예정이니', '이용에', '참고', '부탁드립니다', '유치원', '이용시간', '오전', '시', '저녁', '시', '단', '저녁', '시이후', '하원시', '데이케어', '시간', '추가', '요금발생', '호텔', '이용시간', '오전', '시', '저녁', '시미용', '일요일', '월요일', '휴무카페', '토', '일', '오후', '시', '저녁', '데이케어', '돌봄', '서비스', '오전', '시', '저녁', '시', '도그스마일', '드림']",2022-10-31,도그스마일,[]
26,"['한', '시간쯤', '혼자', '아무도', '없는', '운동장에서', '킁킁도', '신나게', '뛰뛰도', '신나게', '지루해질즈음', '뚜둥', '한', '친구가', '나타남', '비대면을', '좋아한다는', '친구는', '보담이와', '성향이', '비슷했다', '둘은', '인사는', '생략했고', '서로', '터치없이뛰어', '놀았다', '비슷한', '친구도', '있다니', '감격', '놀이터에서', '처음으로', '신나게', '뛰뛰를', '하다니', '칭찬해', '보담', '사지말고입양하세요', '시고르자브종', '멍팔맞팔', '개스타그램', '반려견놀이터']",2022-10-31,,"['사지말고입양하세요', '시고르자브종', '멍팔맞팔', '개스타그램', '반려견놀이터']"
27,"['접수하러', '갔다가', '접수당하는중']",2022-10-31,,[]
28,"['구름이와', '솜이의', '세번째', '반려견', '놀이터', '입성기', '처음에', '놀이터', '왔을', '땐뛰는', '것도', '데면데면', '어질리티', '데면데면', '친구들', '데면데면', '온니', '탐색에', '집중했다면이제는', '시원하게', '뛰고친구들과도', '잘', '놀고어질리티', '만렙', '그', '와중에', '쫄랭쫄랭', '신나게', '놀이터', '따라온', '쪼꼬미는', '자기한테', '신경안쓰니', '놀지않고', '어이없단', '표정으로', '계속', '쳐다봄', '어쩔', '지난', '주', '놀이터에서', '한시간정도', '놀았는데', '구름이가', '주차장', '앞에서', '안간다고', '힘줘서', '이번에는', '두시간도', '넘게', '놀았는데', '역시', '힘주고', '버팅긴다', '더', '놀고싶은더', '뛰고', '싶은', '개월', '꼬꼬마들', '다음', '주말을', '또', '기약하자', '반려견', '유기견', '입양', '임시보호', '꽃길걷개', 'findinglove', 'dog', '사지말고입양하세요', '가족', '사랑', '행복', '반려견놀이터']",2022-10-31,이케아고양점,"['반려견', '유기견', '입양', '임시보호', '꽃길걷개', 'findinglove', 'dog', '사지말고입양하세요', '가족', '사랑', '행복', '반려견놀이터']"
29,"['드디어', '실밥', '풀었다', '내일부터', '지렁이', '실컷', '하게', '해줄게']",2022-10-31,,[]
